Name,Party,State
BONIFÁCIO DE ANDRADA,PSDB,MG
BRUNA FURLAN,PSDB,SP
BRUNNY,PR,MG
CABO DACIOLO,AVANTE,RJ
CABO SABINO,PR,CE
CABUÇU BORGES,PMDB,AP
CACÁ LEÃO,PP,BA
CAETANO,PT,BA
CAIO NARCIO,PSDB,MG
CAJAR NARDES,PR,RS
CAPITÃO AUGUSTO,PR,SP
CARLOS ANDRADE,PHS,RR
CARLOS BEZERRA,PMDB,MT
CARLOS EDUARDO CADOCA,PDT,PE
CARLOS GOMES,PRB,RS
CARLOS HENRIQUE GAGUIM,PODE,TO
CARLOS MANATO,SD,ES
CARLOS MARUN,PMDB,MS
CARLOS MELLES,DEM,MG
CARLOS SAMPAIO,PSDB,SP
CARLOS SOUZA,PSD,AM
CARLOS ZARATTINI,PT,SP
CARMEN ZANOTTO,PPS,SC
CÉLIO SILVEIRA,PSDB,GO
CELSO JACOB,PMDB,RJ
CELSO MALDANER,PMDB,SC
CELSO PANSERA,PMDB,RJ
CELSO RUSSOMANNO,PRB,SP
CÉSAR HALUM,PRB,TO
CÉSAR MESSIAS,PSB,AC
CESAR SOUZA,PSD,SC
CHICO ALENCAR,PSOL,RJ
CHICO D'ANGELO,PT,RJ
CHICO LOPES,PCdoB,CE
CHRISTIANE DE SOUZA YARED,PR,PR
CÍCERO ALMEIDA,PODE,AL
CLAUDIO CAJADO,DEM,BA
CLEBER VERDE,PRB,MA
CONCEIÇÃO SAMPAIO,PP,AM
COVATTI FILHO,PP,RS
CREUZA PEREIRA,PSB,PE
CRISTIANE BRASIL,PTB,RJ
DAGOBERTO NOGUEIRA,PDT,MS
DAMIÃO FELICIANO,PDT,PB
DÂMINA PEREIRA,PSL,MG
DANIEL ALMEIDA,PCdoB,BA
DANIEL COELHO,PSDB,PE
DANIEL VILELA,PMDB,GO
DANILO CABRAL,PSB,PE
DANILO FORTE,PSB,CE
DANRLEI DE DEUS HINTERHOLZ,PSD,RS
DARCÍSIO PERONDI,PMDB,RS
DAVIDSON MAGALHÃES,PCdoB,BA
DÉCIO LIMA,PT,SC
DEJORGE PATRÍCIO,PRB,RJ
DELEGADO ÉDER MAURO,PSD,PA
DELEGADO EDSON MOREIRA,PR,MG
DELEGADO FRANCISCHINI,SD,PR
DELEGADO WALDIR,PR,GO
DELEY,PTB,RJ
DEOCLIDES MACEDO,PDT,MA
DIEGO ANDRADE,PSD,MG
DIEGO GARCIA,PHS,PR
DILCEU SPERAFICO,PP,PR
DIMAS FABIANO,PP,MG
DOMINGOS NETO,PSD,CE
DOMINGOS SÁVIO,PSDB,MG
DR. JORGE SILVA,PHS,ES
DR. SINVAL MALHEIROS,PODE,SP
DULCE MIRANDA,PMDB,TO
EDIO LOPES,PR,RR
EDMAR ARRUDA,PSD,PR
EDMILSON RODRIGUES,PSOL,PA
EDUARDO BARBOSA,PSDB,MG
EDUARDO BOLSONARO,PSC,SP
EDUARDO CURY,PSDB,SP
EDUARDO DA FONTE,PP,PE
EFRAIM FILHO,DEM,PB
ELCIONE BARBALHO,PMDB,PA
ELI CORRÊA FILHO,DEM,SP
ELIZEU DIONIZIO,PSDB,MS
ELIZIANE GAMA,PPS,MA
ELMAR NASCIMENTO,DEM,BA
ENIO VERRI,PT,PR
ERIKA KOKAY,PT,DF
ERIVELTON SANTANA,PEN,BA
EROS BIONDINI,PROS,MG
ESPERIDIÃO AMIN,PP,SC
EVAIR VIEIRA DE MELO,PV,ES
EVANDRO GUSSI,PV,SP
EVANDRO ROMAN,PSD,PR
EXPEDITO NETTO,PSD,RO
EZEQUIEL FONSECA,PP,MT
EZEQUIEL TEIXEIRA,PODE,RJ
FÁBIO FARIA,PSD,RN
FABIO GARCIA,PSB,MT
FÁBIO MITIDIERI,PSD,SE
FÁBIO RAMALHO,PMDB,MG
FABIO REIS,PMDB,SE
FÁBIO SOUSA,PSDB,GO
FAUSTO PINATO,PP,SP
FELIPE BORNIER,PROS,RJ
FELIPE MAIA,DEM,RN
FÉLIX MENDONÇA JÚNIOR,PDT,BA
FERNANDO MONTEIRO,PP,PE
FERNANDO TORRES,PSD,BA
FLÁVIA MORAIS,PDT,GO
FLAVIANO MELO,PMDB,AC
FLAVINHO,PSB,SP
FRANCISCO CHAPADINHA,PODE,PA
FRANCISCO FLORIANO,DEM,RJ
FRANKLIN,PP,MG
GABRIEL GUIMARÃES,PT,MG
GENECIAS NORONHA,SD,CE
GEORGE HILTON,PSB,MG
GEOVANIA DE SÁ,PSDB,SC
GERALDO RESENDE,PSDB,MS
GIACOBO,PR,PR
GILBERTO NASCIMENTO,PSC,SP
GIOVANI CHERINI,PR,RS
GIUSEPPE VECCI,PSDB,GO
GIVALDO CARIMBÃO,PHS,AL
GIVALDO VIEIRA,PT,ES
GLAUBER BRAGA,PSOL,RJ
GONZAGA PATRIOTA,PSB,PE
GORETE PEREIRA,PR,CE
GOULART,PSD,SP
GUILHERME COELHO,PSDB,PE
GUILHERME MUSSI,PP,SP
HEITOR SCHUCH,PSB,RS
HELDER SALOMÃO,PT,ES
HÉLIO LEITE,DEM,PA
HENRIQUE FONTANA,PT,RS
HERÁCLITO FORTES,PSB,PI
HERCULANO PASSOS,PSD,SP
HERMES PARCIANELLO,PMDB,PR
HEULER CRUVINEL,PSD,GO
HILDO ROCHA,PMDB,MA
HIRAN GONÇALVES,PP,RR
HISSA ABRAHÃO,PDT,AM
HUGO LEAL,PSB,RJ
HUGO MOTTA,PMDB,PB
IRACEMA PORTELLA,PP,PI
IRAJÁ ABREU,PSD,TO
IRMÃO LAZARO,PSC,BA
IVAN VALENTE,PSOL,SP
IZALCI LUCAS,PSDB,DF
IZAQUE SILVA,PSDB,SP
JAIME MARTINS,PSD,MG
JAIR BOLSONARO,PSC,RJ
JANDIRA FEGHALI,PCdoB,RJ
JANETE CAPIBERIBE,PSB,AP
JARBAS VASCONCELOS,PMDB,PE
JEAN WYLLYS,PSOL,RJ
JEFFERSON CAMPOS,PSD,SP
JERÔNIMO GOERGEN,PP,RS
JÉSSICA SALES,PMDB,AC
JHC,PSB,AL
JHONATAN DE JESUS,PRB,RR
JÔ MORAES,PCdoB,MG
JOÃO ARRUDA,PMDB,PR
JOÃO CAMPOS,PRB,GO
JOÃO CARLOS BACELAR,PR,BA
JOÃO DANIEL,PT,SE
JOÃO DERLY,REDE,RS
JOÃO FERNANDO COUTINHO,PSB,PE
JOÃO GUALBERTO,PSDB,BA
JOÃO MARCELO SOUZA,PMDB,MA
JOÃO PAULO KLEINÜBING,PSD,SC
JOÃO PAULO PAPA,PSDB,SP
JOÃO RODRIGUES,PSD,SC
JOAQUIM PASSARINHO,PSD,PA
JONES MARTINS,PMDB,RS
JONY MARCOS,PRB,SE
JORGE BOEIRA,PP,SC
JORGE CÔRTE REAL,PTB,PE
JORGE SOLLA,PT,BA
JORGE TADEU MUDALEN,DEM,SP
JORGINHO MELLO,PR,SC
JOSÉ AIRTON CIRILO,PT,CE
JOSÉ CARLOS ALELUIA,DEM,BA
JOSÉ CARLOS ARAÚJO,PR,BA
JOSÉ FOGAÇA,PMDB,RS
JOSÉ GUIMARÃES,PT,CE
JOSÉ MENTOR,PT,SP
JOSÉ NUNES,PSD,BA
JOSÉ OTÁVIO GERMANO,PP,RS
JOSÉ PRIANTE,PMDB,PA
JOSÉ REINALDO,PSB,MA
JOSÉ ROCHA,PR,BA
JOSE STÉDILE,PSB,RS
JOSI NUNES,PMDB,TO
JOSUÉ BENGTSON,PTB,PA
JOVAIR ARANTES,PTB,GO
JOZI ARAÚJO,PODE,AP
JÚLIA MARINHO,PSC,PA
JÚLIO CESAR,PSD,PI
JÚLIO DELGADO,PSB,MG
JULIO LOPES,PP,RJ
JUNIOR MARRECA,PEN,MA
JUSCELINO FILHO,DEM,MA
JUTAHY JUNIOR,PSDB,BA
KEIKO OTA,PSB,SP
LAERCIO OLIVEIRA,SD,SE
LAERTE BESSA,PR,DF
LAUDIVIO CARVALHO,SD,MG
LAURA CARNEIRO,PMDB,RJ
LÁZARO BOTELHO,PP,TO
LEANDRE,PV,PR
LELO COIMBRA,PMDB,ES
LEO DE BRITO,PT,AC
LEONARDO MONTEIRO,PT,MG
LEONARDO QUINTÃO,PMDB,MG
LEÔNIDAS CRISTINO,PDT,CE
LEOPOLDO MEYER,PSB,PR
LINCOLN PORTELA,PRB,MG
LINDOMAR GARÇON,PRB,RO
LOBBE NETO,PSDB,SP
LUANA COSTA,PSB,MA
LUCAS VERGILIO,SD,GO
LUCIANA SANTOS,PCdoB,PE
LUCIANO BIVAR,PSL,PE
LUCIANO DUCCI,PSB,PR
LUCIO MOSQUINI,PMDB,RO
LÚCIO VALE,PR,PA
LUCIO VIEIRA LIMA,PMDB,BA
LUIS CARLOS HEINZE,PP,RS
LUIS TIBÉ,AVANTE,MG
LUIZ CARLOS HAULY,PSDB,PR
LUIZ CARLOS RAMOS,PODE,RJ
LUIZ CLÁUDIO,PR,RO
LUIZ COUTO,PT,PB
LUIZ FERNANDO FARIA,PP,MG
LUIZ LAURO FILHO,PSB,SP
LUIZ NISHIMORI,PR,PR
LUIZ SÉRGIO,PT,RJ
LUIZA ERUNDINA,PSOL,SP
LUIZIANNE LINS,PT,CE
MACEDO,PP,CE
MAGDA MOFATTO,PR,GO
MAIA FILHO,PP,PI
MAJOR OLIMPIO,SD,SP
MANDETTA,DEM,MS
MARA GABRILLI,PSDB,SP
MARCELO AGUIAR,DEM,SP
MARCELO ÁLVARO ANTÔNIO,PR,MG
MARCELO ARO,PHS,MG
MARCELO CASTRO,PMDB,PI
MARCELO DELAROLI,PR,RJ
MARCELO MATOS,PHS,RJ
MARCELO SQUASSONI,PRB,SP
MARCIO ALVINO,PR,SP
MÁRCIO MARINHO,PRB,BA
MARCO ANTÔNIO CABRAL,PMDB,RJ
MARCO MAIA,PT,RS
MARCO TEBALDI,PSDB,SC
MARCON,PT,RS
MARCOS ABRÃO,PPS,GO
MARCOS MEDRADO,PODE,BA
MARCOS MONTES,PSD,MG
MARCOS REATEGUI,PSD,AP
MARCOS ROGÉRIO,DEM,RO
MARCOS SOARES,DEM,RJ
MARCUS PESTANA,PSDB,MG
MARCUS VICENTE,PP,ES
MARGARIDA SALOMÃO,PT,MG
MARIA DO ROSÁRIO,PT,RS
MARIA HELENA,PSB,RR
MARIANA CARVALHO,PSDB,RO
MARINALDO ROSENDO,PSB,PE
MARINHA RAUPP,PMDB,RO
MÁRIO HERINGER,PDT,MG
MÁRIO NEGROMONTE JR.,PP,BA
MAURO LOPES,PMDB,MG
MAURO MARIANI,PMDB,SC
MAURO PEREIRA,PMDB,RS
MIGUEL HADDAD,PSDB,SP
MIGUEL LOMBARDI,PR,SP
MILTON MONTI,PR,SP
MIRO TEIXEIRA,REDE,RJ
MISAEL VARELLA,DEM,MG
MISSIONÁRIO JOSÉ OLIMPIO,DEM,SP
MOISÉS DINIZ,PCdoB,AC
MOSES RODRIGUES,PMDB,CE
NELSON MARQUEZELLI,PTB,SP
NELSON MEURER,PP,PR
NELSON PADOVANI,PSDB,PR
NELSON PELLEGRINO,PT,BA
NEWTON CARDOSO JR,PMDB,MG
NILSON LEITÃO,PSDB,MT
NILSON PINTO,PSDB,PA
NILTO TATTO,PT,SP
NILTON CAPIXABA,PTB,RO
NIVALDO ALBUQUERQUE,PRP,AL
NORMA AYUB,DEM,ES
ODORICO MONTEIRO,PSB,CE
ONYX LORENZONI,DEM,RS
ORLANDO SILVA,PCdoB,SP
OSMAR BERTOLDI,DEM,PR
OSMAR SERRAGLIO,PMDB,PR
OTAVIO LEITE,PSDB,RJ
PADRE JOÃO,PT,MG
PAES LANDIM,PTB,PI
PASTOR EURICO,PHS,PE
PASTOR LUCIANO BRAGA,PRB,BA
PATRUS ANANIAS,PT,MG
PAUDERNEY AVELINO,DEM,AM
PAULÃO,PT,AL
PAULO AB,ACKEL,PSDB,MG
PAULO AZI,DEM,BA
PAULO FEIJÓ,PR,RJ
PAULO FOLETTO,PSB,ES
PAULO FREIRE,PR,SP
PAULO MAGALHÃES,PSD,BA
PAULO MALUF,PP,SP
PAULO PEREIRA DA SILVA,SD,SP
PAULO PIMENTA,PT,RS
PAULO TEIXEIRA,PT,SP
PEDRO CHAVES,PMDB,GO
PEDRO CUNHA LIMA,PSDB,PB
PEDRO FERNANDES,PTB,MA
PEDRO PAULO,PMDB,RJ
PEDRO UCZAI,PT,SC
PEDRO VILELA,PSDB,AL
PEPE VARGAS,PT,RS
POLLYANA GAMA,PPS,SP
POMPEO DE MATTOS,PDT,RS
PR. MARCO FELICIANO,PSC,SP
PROFESSOR VICTÓRIO GALLI,PSC,MT
PROFESSORA DORINHA SEABRA REZENDE,DEM,TO
PROFESSORA MARCIVANIA,PCdoB,AP
RAFAEL MOTTA,PSB,RN
RAIMUNDO GOMES DE MATOS,PSDB,CE
RAQUEL MUNIZ,PSD,MG
REGINALDO LOPES,PT,MG
REINHOLD STEPHANES,PSD,PR
REMÍDIO MONAI,PR,RR
RENATA ABREU,PODE,SP
RENATO ANDRADE,PP,MG
RENATO MOLLING,PP,RS
RENZO BRAZ,PP,MG
RICARDO IZAR,PP,SP
RICARDO TEOBALDO,PODE,PE
RICARDO TRIPOLI,PSDB,SP
ROBERTO ALVES,PRB,SP
ROBERTO BALESTRA,PP,GO
ROBERTO BRITTO,PP,BA
ROBERTO DE LUCENA,PV,SP
ROBERTO FREIRE,PPS,SP
ROBERTO GÓES,PDT,AP
ROBERTO SALES,PRB,RJ
ROCHA,PSDB,AC
RODRIGO DE CASTRO,PSDB,MG
RODRIGO MAIA,DEM,RJ
RODRIGO MARTINS,PSB,PI
RODRIGO PACHECO,PMDB,MG
ROGÉRIO MARINHO,PSDB,RN
ROGÉRIO PENINHA MENDONÇA,PMDB,SC
ROGÉRIO ROSSO,PSD,DF
ROGÉRIO SILVA,PMDB,MT
RÔMULO GOUVEIA,PSD,PB
RONALDO BENEDET,PMDB,SC
RONALDO CARLETTO,PP,BA
RONALDO FONSECA,PROS,DF
RONALDO LESSA,PDT,AL
RONALDO MARTINS,PRB,CE
RÔNEY NEMER,PP,DF
ROSANGELA GOMES,PRB,RJ
ROSINHA DA ADEFAL,AVANTE,AL
RUBENS BUENO,PPS,PR
RUBENS OTONI,PT,GO
RUBENS PEREIRA JÚNIOR,PCdoB,MA
SABINO CASTELO BRANCO,PTB,AM
SÁGUAS MORAES,PT,MT
SANDRO ALEX,PSD,PR
SARAIVA FELIPE,PMDB,MG
SÉRGIO BRITO,PSD,BA
SÉRGIO MORAES,PTB,RS
SÉRGIO REIS,PRB,SP
SERGIO SOUZA,PMDB,PR
SERGIO VIDIGAL,PDT,ES
SERGIO ZVEITER,PODE,RJ
SEVERINO NINHO,PSB,PE
SHÉRIDAN,PSDB,RR
SILAS CÂMARA,PRB,AM
SILAS FREIRE,PODE,PI
SILVIO COSTA,AVANTE,PE
SILVIO TORRES,PSDB,SP
SIMÃO SESSIM,PP,RJ
SIMONE MORGADO,PMDB,PA
SORAYA SANTOS,PMDB,RJ
SÓSTENES CAVALCANTE,DEM,RJ
STEFANO AGUIAR,PSD,MG
SUBTENENTE GONZAGA,PDT,MG
TADEU ALENCAR,PSB,PE
TAKAYAMA,PSC,PR
TENENTE LÚCIO,PSB,MG
TEREZA CRISTINA,PSB,MS
THIAGO PEIXOTO,PSD,GO
TIRIRICA,PR,SP
TONINHO PINHEIRO,PP,MG
TONINHO WANDSCHEER,PROS,PR
ULDURICO JUNIOR,PV,BA
VAIDON OLIVEIRA,PROS,CE
VALADARES FILHO,PSB,SE
VALDIR COLATTO,PMDB,SC
VALMIR ASSUNÇÃO,PT,BA
VALMIR PRASCIDELLI,PT,SP
VANDER LOUBET,PT,MS
VANDERLEI MACRIS,PSDB,SP
VENEZIANO VITAL DO RÊGO,PMDB,PB
VICENTE ARRUDA,PDT,CE
VICENTE CANDIDO,PT,SP
VICENTINHO,PT,SP
VICENTINHO JÚNIOR,PR,TO
VICTOR MENDES,PSD,MA
VINICIUS CARVALHO,PRB,SP
VINICIUS GURGEL,PR,AP
VITOR LIPPI,PSDB,SP
VITOR VALIM,PMDB,CE
WADIH DAMOUS,PT,RJ
WALDENOR PEREIRA,PT,BA
WALDIR MARANHÃO,AVANTE,MA
WALNEY ROCHA,PEN,RJ
WALTER ALVES,PMDB,RN
WALTER IHOSHI,PSD,SP
WELITON PRADO,PROS,MG
WELLINGTON ROBERTO,PR,PB
WEVERTON ROCHA,PDT,MA
WILSON BESERRA,PMDB,RJ
WILSON FILHO,PTB,PB
WLADIMIR COSTA,SD,PA
WOLNEY QUEIROZ,PDT,PE
YEDA CRUSIUS,PSDB,RS
ZÉ AUGUSTO NALIN,PMDB,RJ
ZÉ CARLOS,PT,MA
ZÉ GERALDO,PT,PA
ZÉ SILVA,SD,MG
ZECA CAVALCANTI,PTB,PE
ZECA DIRCEU,PT,PR
ZECA DO PT,PT,MS
ZENAIDE MAIA,PR,RN
